"Participant","RT","symb1","symb2","choice","condition"
"P01",NA,"D","B",NA,"N"
"P01",1.64950338455,"D","F","F","N"
"P01",1.04967697056,"B","C","C","N"
"P01",1.3495974677,"D","E","E","N"
"P01",1.28290944388,"B","F","F","N"
"P01",0.899751091529,"E","B","E","N"
"P01",1.03302554633,"D","A","A","N"
"P01",0.66651365586,"C","B","C","N"
"P01",0.549868108254,"A","B","A","N"
"P01",1.13299389857,"A","E","A","N"
"P01",0.849745727679,"B","E","E","N"
"P01",0.73318294305,"A","F","A","N"
"P01",1.31627834573,"F","D","D","N"
"P01",0.84969147566,"C","A","C","N"
"P01",0.883113910746,"C","F","C","N"
"P01",1.03304337169,"E","C","C","N"
"P01",0.883336852592,"E","D","E","N"
"P01",1.36630413943,"F","B","F","N"
"P01",0.999755338098,"E","A","A","N"
"P01",0.733113921273,"C","E","C","N"
"P01",0.76646355417,"F","C","C","N"
"P01",0.783086058429,"A","D","A","N"
"P01",0.916414981786,"F","A","F","N"
"P01",0.516538442047,"B","A","A","N"
"P01",0.816472942035,"A","C","C","N"
"P01",1.14969589967,"B","D","B","N"
"P01",0.849801492464,"D","C","C","N"
"P01",0.699779527298,"C","D","C","N"
"P01",0.883061887273,"E","F","E","N"
"P01",0.466564265816,"F","E","E","N"
"P01",0.499888214794,"E","D","E","N"
"P01",0.766454342245,"F","E","E","N"
"P01",0.499869499217,"C","A","C","N"
"P01",0.633180597211,"B","E","E","N"
"P01",0.716469781168,"B","C","C","N"
"P01",0.549897482359,"A","C","A","N"
"P01",0.999738345809,"B","F","F","N"
"P01",0.999730099284,"B","D","D","N"
"P01",0.883085932113,"E","F","E","N"
"P01",0.916442340875,"A","D","A","N"
"P01",0.849795116597,"F","B","F","N"
"P01",0.766456387335,"D","E","E","N"
"P01",0.583202598467,"E","A","A","N"
"P01",0.799825755348,"C","B","C","N"
"P01",0.566500678564,"E","C","C","N"
"P01",0.533199036101,"C","E","C","N"
"P01",0.499873108198,"A","B","A","N"
"P01",0.716476653271,"D","A","A","N"
"P01",0.499863222596,"A","F","A","N"
"P01",0.466546705113,"D","C","C","N"
"P01",0.733158558362,"D","F","F","N"
"P01",0.483230153042,"F","A","F","N"
"P01",1.21631419194,"D","B","D","N"
"P01",0.866411353256,"F","D","F","N"
"P01",0.566537180408,"B","A","A","N"
"P01",0.566524816637,"C","F","C","N"
"P01",0.616455333211,"F","C","C","N"
"P01",0.649830442513,"E","B","E","N"
"P01",0.599854010668,"C","D","C","N"
"P01",0.983076900637,"A","E","E","N"
"P01",0.849784809945,"D","F","D","N"
"P01",0.583152520836,"D","A","A","N"
"P01",0.549863711312,"E","F","E","N"
"P01",0.583176192749,"F","B","F","N"
"P01",0.783155534336,"D","E","E","N"
"P01",0.633179201739,"A","E","A","N"
"P01",0.466561372616,"B","A","A","N"
"P01",0.649828704187,"F","C","C","N"
"P01",0.533250334771,"E","A","E","N"
"P01",0.466583029514,"F","E","E","N"
"P01",0.549874466076,"F","D","F","N"
"P01",0.41658066112,"B","E","E","N"
"P01",0.449894477881,"C","B","C","N"
"P01",0.983150232139,"A","F","A","N"
"P01",0.666505352196,"E","D","E","N"
"P01",0.633218329116,"C","E","C","N"
"P01",0.799780591949,"F","A","A","N"
"P01",0.683205073627,"B","F","F","N"
"P01",0.899749975752,"D","B","D","N"
"P01",0.549856881313,"C","A","C","N"
"P01",0.783131492501,"E","B","E","N"
"P01",0.949708573211,"A","C","C","N"
"P01",0.516541599907,"D","C","C","N"
"P01",0.649832237983,"C","D","C","N"
"P01",0.5332076345,"B","C","C","N"
"P01",0.833100366537,"B","D","B","N"
"P01",0.866428853809,"E","C","C","N"
"P01",0.616493423006,"A","D","A","N"
"P01",0.516487627583,"A","B","A","N"
"P01",0.666465256407,"C","F","C","N"
"P01",1.04972211291,"C","E","C","N"
"P01",0.549897425217,"D","C","C","N"
"P01",0.549870327779,"B","A","A","N"
"P01",0.716479272791,"E","F","E","N"
"P01",0.983025262121,"E","C","C","N"
"P01",0.599851932497,"C","D","C","N"
"P01",0.783124503108,"E","A","A","N"
"P01",0.399953092257,"C","B","C","N"
"P01",0.516541386376,"C","F","C","N"
"P01",0.549866553385,"E","B","B","N"
"P01",0.233322066293,"B","C","B","N"
"P01",0.833104291305,"E","D","E","N"
"P01",0.716449970865,"B","D","D","N"
"P01",0.599844690474,"F","A","A","N"
"P01",0.733092841811,"D","F","F","N"
"P01",0.716476836727,"B","E","E","N"
"P01",0.733184735511,"A","F","A","N"
"P01",0.883059273767,"F","B","F","N"
"P01",0.649864523333,"A","D","A","N"
"P01",0.833119319706,"D","A","A","N"
"P01",1.26628831404,"A","B","A","N"
"P01",0.799818290772,"C","A","C","N"
"P01",0.516540860066,"F","C","C","N"
"P01",0.883084696037,"D","E","E","N"
"P01",0.649789639967,"F","E","E","N"
"P01",1.53280551873,"A","C","C","N"
"P01",0.916422031331,"B","F","F","N"
"P01",0.683157759875,"A","E","E","N"
"P01",0.816423877926,"D","B","D","N"
"P01",0.883087850889,"F","D","F","N"
"P01",0.949753065943,"B","D","D","N"
"P01",0.71648385319,"F","C","C","N"
"P01",0.499890717023,"C","B","C","N"
"P01",0.516547747206,"B","E","E","N"
"P01",0.816453396392,"C","E","C","N"
"P01",0.633139460833,"E","B","E","N"
"P01",0.816466912027,"A","E","E","N"
"P01",0.583182063361,"D","A","A","N"
"P01",0.449899798123,"C","D","C","N"
"P01",0.433207072101,"E","C","C","N"
"P01",0.449909996503,"A","B","A","N"
"P01",0.499874915697,"E","F","E","N"
"P01",0.499885093026,"F","A","F","N"
"P01",0.466535442081,"D","F","D","N"
"P01",0.582926622632,"A","D","A","N"
"P01",0.999741395399,"E","A","A","N"
"P01",0.44989779213,"E","D","E","N"
"P01",0.48319514592,"D","E","E","N"
"P01",0.683155582457,"F","D","F","N"
"P01",0.499876735224,"F","E","E","N"
"P01",0.683178207764,"B","C","C","N"
"P01",0.43310898599,"D","C","C","N"
"P01",0.866445127311,"A","F","A","N"
"P01",0.499894608707,"D","B","B","N"
"P01",0.583208339754,"B","A","A","N"
"P01",0.916390973034,"B","F","F","N"
"P01",0.916352323846,"C","A","C","N"
"P01",0.499895811701,"A","C","C","N"
"P01",0.76641352466,"F","B","F","N"
"P01",0.699850112969,"C","F","C","N"
"P01",0.68318107089,"F","E","F","N"
"P01",0.533210996869,"E","C","E","N"
"P01",1.33314761713,"D","F","F","N"
"P01",0.549894670361,"E","B","E","N"
"P01",0.616482971996,"D","E","E","N"
"P01",0.533222205764,"B","A","A","N"
"P01",0.383288943358,"D","A","A","N"
"P01",0.416601274421,"B","E","E","N"
"P01",0.466559989174,"A","F","F","N"
"P01",0.633161938777,"C","A","A","N"
"P01",0.699811950992,"A","B","A","N"
"P01",0.566523700862,"B","C","C","N"
"P01",0.916408539753,"A","C","C","N"
"P01",0.516507678485,"E","D","E","N"
"P01",0.566530879727,"F","C","C","N"
"P01",0.583184400177,"F","B","F","N"
"P01",0.599844149127,"C","B","C","N"
"P01",0.516544971297,"D","C","C","N"
"P01",1.08302032684,"C","E","C","N"
"P01",1.64946556843,"A","E","A","N"
"P01",0.649842974704,"B","D","D","N"
"P01",0.949695845535,"F","D","F","N"
"P01",0.449872135276,"E","A","E","N"
"P01",0.999745933692,"F","A","A","N"
"P01",0.999716971613,"C","F","C","N"
"P01",1.09965418435,"E","F","E","N"
"P01",0.633185800159,"B","F","F","N"
"P01",0.949714392695,"D","B","D","N"
"P01",0.499857691831,"C","D","C","N"
"P01",0.99970426499,"A","D","A","N"
"P02",1.34960524503,"D","A","A","N"
"P02",1.5828503421,"B","F","B","N"
"P02",1.13302702215,"F","A","A","N"
"P02",1.36625857957,"B","E","E","N"
"P02",1.26624835115,"F","C","F","N"
"P02",0.566515883972,"C","E","C","N"
"P02",0.916392108389,"E","C","C","N"
"P02",1.41619586172,"D","B","D","N"
"P02",1.23297178088,"E","F","E","N"
"P02",0.983049839852,"A","B","A","N"
"P02",1.16637690561,"B","D","B","N"
"P02",0.666504482639,"C","F","C","N"
"P02",0.91640716681,"C","A","C","N"
"P02",1.28291440129,"F","D","D","N"
"P02",1.23299379558,"A","E","A","N"
"P02",1.23301252011,"C","D","C","N"
"P02",0.966405996902,"C","B","C","N"
"P02",0.96643836634,"D","F","F","N"
"P02",0.883082973188,"D","E","E","N"
"P02",1.04971718621,"E","D","E","N"
"P02",0.833098401527,"B","C","C","N"
"P02",0.866414992256,"D","C","C","N"
"P02",0.766441852002,"A","F","A","N"
"P02",0.933078308597,"A","D","A","N"
"P02",0.98305057969,"B","A","A","N"
"P02",1.11635505331,"F","B","F","N"
"P02",0.949740178343,"E","B","E","N"
"P02",0.883086747568,"E","A","A","N"
"P02",1.01637096886,"F","E","F","N"
"P02",0.916383458895,"A","C","C","N"
"P02",0.716473989865,"E","C","C","N"
"P02",0.999721249304,"F","B","F","N"
"P02",0.966399837596,"A","B","A","N"
"P02",0.749762683268,"D","A","A","N"
"P02",0.916379898047,"B","F","F","N"
"P02",0.916361167501,"B","D","B","N"
"P02",0.866422829732,"D","E","E","N"
"P02",0.799736831025,"C","B","C","N"
"P02",0.699803127773,"F","C","C","N"
"P02",0.699820616231,"A","F","A","N"
"P02",0.799778391302,"E","A","A","N"
"P02",0.716515959159,"B","A","A","N"
"P02",0.799747047413,"D","F","F","N"
"P02",0.716456308928,"F","A","A","N"
"P02",0.716347218839,"D","C","C","N"
"P02",0.749832519812,"E","B","E","N"
"P02",0.649842715147,"C","A","C","N"
"P02",0.666445620367,"C","D","C","N"
"P02",0.583113336641,"B","C","C","N"
"P02",1.41626500053,"E","D","E","N"
"P02",0.833217714019,"F","D","F","N"
"P02",0.849749330086,"A","E","A","N"
"P02",0.966388400174,"F","E","E","N"
"P02",1.51616629825,"D","B","B","N"
"P02",NA,"B","E",NA,"N"
"P02",0.883091896362,"E","F","F","N"
"P02",0.866400195486,"A","C","C","N"
"P02",0.583200742846,"C","F","C","N"
"P02",0.716465896754,"A","D","A","N"
"P02",0.649807551766,"C","E","C","N"
"P02",0.566523038751,"B","C","C","N"
"P02",0.533208372807,"F","C","C","N"
"P02",0.883035262628,"F","D","F","N"
"P02",0.699765185486,"D","E","E","N"
"P02",0.666494242192,"A","E","A","N"
"P02",0.566533345363,"C","E","C","N"
"P02",0.633150686456,"E","D","E","N"
"P02",0.749756487873,"A","D","A","N"
"P02",0.699818044841,"B","E","E","N"
"P02",0.783118981669,"D","F","F","N"
"P02",0.61648445888,"F","E","F","N"
"P02",0.583158472805,"C","A","C","N"
"P02",0.499813509571,"C","F","C","N"
"P02",1.09966344566,"E","B","E","N"
"P02",0.633173792875,"E","F","E","N"
"P02",0.566511038932,"A","B","A","N"
"P02",0.649810965249,"A","F","A","N"
"P02",0.616493406114,"C","B","C","N"
"P02",0.866428607088,"D","C","C","N"
"P02",1.29968519872,"D","B","B","N"
"P02",0.649824937971,"E","C","C","N"
"P02",0.683114464444,"B","D","B","N"
"P02",0.866427313875,"F","A","A","N"
"P02",0.699812923114,"A","C","C","N"
"P02",0.633171019985,"C","D","C","N"
"P02",0.983058423182,"B","F","F","N"
"P02",0.649811076525,"E","A","A","N"
"P02",0.866414297529,"B","A","A","N"
"P02",0.799760638186,"F","B","B","N"
"P02",0.733083896483,"D","A","A","N"
"P02",0.783112452444,"F","E","F","N"
"P02",0.583190709914,"C","B","C","N"
"P02",0.666495027142,"F","A","A","N"
"P02",0.833090618186,"B","A","A","N"
"P02",0.583163567465,"A","E","A","N"
"P02",0.916389344521,"B","F","F","N"
"P02",1.24962012,"E","B","E","N"
"P02",0.699804165351,"D","C","C","N"
"P02",0.8497542052,"F","D","F","N"
"P02",0.649776081563,"A","D","A","N"
"P02",0.933128761973,"E","F","E","N"
"P02",0.699838531751,"D","A","A","N"
"P02",0.633179368731,"C","E","C","N"
"P02",0.533193588066,"E","C","C","N"
"P02",0.799824216177,"F","B","B","N"
"P02",0.666468254612,"D","B","B","N"
"P02",0.666492191095,"C","D","C","N"
"P02",0.683141697118,"A","F","A","N"
"P02",0.516550172178,"A","B","A","N"
"P02",0.649804427001,"C","A","C","N"
"P02",0.649827831161,"D","F","F","N"
"P02",0.849748698516,"B","E","B","N"
"P02",0.89968912648,"E","D","E","N"
"P02",0.766442883566,"A","C","C","N"
"P02",0.633173191381,"C","F","C","N"
"P02",0.683157477331,"B","D","B","N"
"P02",0.633159510383,"F","C","C","N"
"P02",0.716495583525,"E","A","A","N"
"P02",0.766430655178,"B","C","C","N"
"P02",0.833109962256,"D","E","E","N"
"P02",0.566525026691,"B","C","C","N"
"P02",0.79977119141,"A","D","A","N"
"P02",0.649792135457,"D","A","A","N"
"P02",0.599868886182,"A","B","A","N"
"P02",0.483216327574,"E","A","A","N"
"P02",0.916394472264,"E","F","E","N"
"P02",0.616499051142,"B","F","F","N"
"P02",0.583195245184,"E","B","B","N"
"P02",0.533166863656,"C","D","C","N"
"P02",0.533180349168,"A","C","C","N"
"P02",0.64977372671,"B","E","E","N"
"P02",0.549857148013,"C","B","C","N"
"P02",0.649845494053,"F","C","C","N"
"P02",0.633145047443,"D","F","F","N"
"P02",0.566484452865,"A","E","A","N"
"P02",0.599852450339,"C","E","C","N"
"P02",0.799830847657,"B","D","B","N"
"P02",0.716464898272,"B","A","A","N"
"P02",0.56648792349,"C","A","C","N"
"P02",0.566514620833,"D","E","E","N"
"P02",0.599847897024,"D","C","C","N"
"P02",0.866411269003,"E","D","E","N"
"P02",0.633150160148,"C","F","C","N"
"P02",0.599804890152,"E","C","C","N"
"P02",0.666481165696,"F","A","A","N"
"P02",0.89972545676,"F","E","F","N"
"P02",0.933054423242,"F","D","D","N"
"P02",0.699809807371,"F","B","F","N"
"P02",0.833083255891,"D","B","D","N"
"P02",0.616502004481,"A","F","A","N"
"P02",0.616496828619,"C","A","C","N"
"P02",0.483190294883,"C","E","C","N"
"P02",0.849781576217,"B","C","C","N"
"P02",0.633145486534,"E","C","C","N"
"P02",1.13301341935,"F","E","E","N"
"P02",0.633116295995,"D","F","D","N"
"P02",0.883099421062,"D","E","D","N"
"P02",0.749810640441,"A","E","A","N"
"P02",0.666512975745,"C","B","C","N"
"P02",0.966349185726,"E","B","E","N"
"P02",0.849762620111,"E","F","F","N"
"P02",0.783113544157,"D","A","A","N"
"P02",0.533209972783,"E","A","A","N"
"P02",0.63319484519,"C","F","C","N"
"P02",0.816437127261,"B","A","A","N"
"P02",0.999528945429,"B","D","B","N"
"P02",0.966367236583,"A","C","A","N"
"P02",0.716418923024,"A","B","A","N"
"P02",0.866436492684,"F","D","F","N"
"P02",0.766457812665,"D","C","C","N"
"P02",0.883063066721,"F","C","C","N"
"P02",0.59989986316,"C","D","C","N"
"P02",0.649816868919,"F","B","B","N"
"P02",0.566517210267,"F","A","A","N"
"P02",0.933019870378,"B","E","B","N"
"P02",0.649839325725,"E","D","E","N"
"P02",0.683092106885,"D","B","B","N"
"P02",0.516549519556,"A","F","A","N"
"P02",0.566508440475,"A","D","A","N"
"P02",0.633163612577,"B","F","F","N"
"P03",1.18301161345,"B","E","B","N"
"P03",1.4995439523,"B","C","C","N"
"P03",1.53286667318,"E","D","E","N"
"P03",1.19966414689,"C","E","E","N"
"P03",1.36624852745,"D","C","C","N"
"P03",1.2829163901,"E","B","E","N"
"P03",1.43294180044,"A","C","A","N"
"P03",1.49954331471,"E","C","E","N"
"P03",1.21631705927,"E","A","E","N"
"P03",1.0496911542,"A","D","D","N"
"P03",1.23312993436,"D","A","D","N"
"P03",1.1996684867,"B","F","F","N"
"P03",1.09972209833,"F","A","F","N"
"P03",1.03301346005,"B","A","A","N"
"P03",1.28294497335,"C","D","C","N"
"P03",0.766476799422,"C","A","C","N"
"P03",1.11631796152,"D","F","F","N"
"P03",1.28296684386,"F","C","F","N"
"P03",1.18299001962,"C","B","B","N"
"P03",1.11631822317,"D","E","D","N"
"P03",1.14969784588,"A","B","B","N"
"P03",1.6828523575,"D","B","B","N"
"P03",1.3162471019,"F","B","F","N"
"P03",1.34959911279,"A","F","A","N"
"P03",0.783173982151,"B","D","D","N"
"P03",1.0830316554,"F","E","E","N"
"P03",1.21632390132,"C","F","C","N"
"P03",1.54950765182,"F","D","D","N"
"P03",1.11631649386,"E","F","F","N"
"P03",1.23300883151,"A","E","A","N"
"P03",1.09968218585,"D","E","E","N"
"P03",1.41622521334,"F","D","D","N"
"P03",1.2996299697,"C","F","C","N"
"P03",1.51624263577,"F","B","F","N"
"P03",1.38294470568,"A","D","A","N"
"P03",1.06632543815,"A","C","C","N"
"P03",0.983074689664,"C","E","C","N"
"P03",0.783120274284,"D","C","C","N"
"P03",1.1330405215,"B","E","B","N"
"P03",0.899752579304,"E","B","B","N"
"P03",0.833090539169,"C","B","B","N"
"P03",1.23303454561,"D","B","D","N"
"P03",0.916411359313,"B","D","D","N"
"P03",1.51622387802,"B","A","B","N"
"P03",1.06636437922,"C","A","A","N"
"P03",1.33289310005,"F","C","F","N"
"P03",0.81644946429,"E","F","F","N"
"P03",0.816456682281,"D","F","F","N"
"P03",1.19962500432,"E","D","E","N"
"P03",0.833115230712,"A","E","E","N"
"P03",NA,"A","B",NA,"N"
"P03",NA,"F","E",NA,"N"
"P03",0.699819378802,"B","F","F","N"
"P03",1.18299227525,"E","A","A","N"
"P03",0.899747785355,"C","D","C","N"
"P03",0.933073237043,"A","F","F","N"
"P03",0.983029619326,"B","C","B","N"
"P03",1.04968955121,"D","A","A","N"
"P03",0.899753346215,"F","A","F","N"
"P03",0.91642341035,"E","C","C","N"
"P03",0.733144671093,"E","F","E","N"
"P03",0.733253545462,"E","B","B","N"
"P03",0.749743009451,"B","D","B","N"
"P03",1.01642102841,"C","E","C","N"
"P03",0.483219431433,"C","A","A","N"
"P03",0.933088479034,"A","F","F","N"
"P03",0.816445903414,"B","A","B","N"
"P03",0.999746380854,"A","E","E","N"
"P03",0.933069718273,"B","C","C","N"
"P03",0.633166123563,"D","E","D","N"
"P03",0.433228706551,"A","B","B","N"
"P03",0.666482071563,"D","F","D","N"
"P03",0.816510095413,"D","B","B","N"
"P03",0.499868785949,"C","D","C","N"
"P03",0.416544591394,"E","A","A","N"
"P03",0.81645705521,"E","D","D","N"
"P03",0.366582825693,"F","E","F","N"
"P03",0.516543286141,"A","C","C","N"
"P03",0.516528179488,"F","C","F","N"
"P03",0.783121353975,"F","A","F","N"
"P03",0.383283415914,"B","F","F","N"
"P03",0.816408466102,"E","C","C","N"
"P03",0.899755616875,"B","E","B","N"
"P03",1.03302259081,"C","F","C","N"
"P03",1.09968330464,"F","D","D","N"
"P03",1.16635859881,"C","B","C","N"
"P03",1.31628755573,"A","D","A","N"
"P03",0.766477325734,"D","A","A","N"
"P03",0.799805694694,"F","B","F","N"
"P03",0.74980147217,"D","C","C","N"
"P03",0.749812855542,"B","E","B","N"
"P03",0.849746597394,"F","B","B","N"
"P03",0.833088999331,"C","F","C","N"
"P03",0.749773974632,"D","F","F","N"
"P03",1.08302410057,"D","C","D","N"
"P03",0.899733935835,"B","F","F","N"
"P03",1.11630464733,"B","C","C","N"
"P03",0.833138310238,"B","A","B","N"
"P03",0.78309792558,"E","D","D","N"
"P03",1.06635596424,"D","A","D","N"
"P03",0.999719614138,"C","B","C","N"
"P03",1.26630314359,"A","F","F","N"
"P03",0.883091645928,"A","D","A","N"
"P03",0.749851769536,"A","B","A","N"
"P03",1.03305623567,"F","C","C","N"
"P03",0.783098548131,"C","E","C","N"
"P03",0.966397654153,"D","E","E","N"
"P03",1.01640559094,"F","D","F","N"
"P03",0.699770025789,"C","A","C","N"
"P03",0.68314714927,"B","D","B","N"
"P03",0.716489776768,"A","E","E","N"
"P03",0.383270092706,"E","A","E","N"
"P03",0.649865207029,"E","C","C","N"
"P03",0.666502212765,"D","B","B","N"
"P03",0.483237193705,"F","A","F","N"
"P03",0.983053655235,"A","C","C","N"
"P03",0.649830112555,"F","E","F","N"
"P03",0.53321350065,"E","F","F","N"
"P03",0.866442020736,"E","B","B","N"
"P03",0.649828380238,"C","D","C","N"
"P03",0.699832193743,"D","F","F","N"
"P03",0.849754212375,"C","D","C","N"
"P03",1.14966382208,"C","A","A","N"
"P03",0.966390851197,"E","C","C","N"
"P03",1.21631725476,"B","F","F","N"
"P03",0.766456116871,"D","B","D","N"
"P03",0.683148586853,"C","F","F","N"
"P03",0.499832729077,"E","D","E","N"
"P03",0.683149877069,"D","C","D","N"
"P03",0.999708077383,"B","E","E","N"
"P03",0.549913387117,"F","B","F","N"
"P03",0.749804437561,"A","C","C","N"
"P03",0.549895579732,"A","B","A","N"
"P03",0.616519403614,"F","A","A","N"
"P03",0.583276396418,"D","E","D","N"
"P03",0.583193479748,"E","F","F","N"
"P03",0.549903206743,"B","A","B","N"
"P03",0.349932514793,"C","E","E","N"
"P03",0.349860121352,"B","C","B","N"
"P03",0.466575123495,"A","D","D","N"
"P03",0.566529740378,"C","B","C","N"
"P03",0.666507797686,"E","B","B","N"
"P03",0.516518203623,"F","D","F","N"
"P03",0.683156108601,"F","C","F","N"
"P03",0.766489957219,"A","F","F","N"
"P03",0.233251377058,"B","D","B","N"
"P03",0.166676349802,"D","A","A","N"
"P03",0.299924147939,"E","A","E","N"
"P03",0.483200330825,"F","E","E","N"
"P03",1.0663649747,"A","E","E","N"
"P03",0.733112226224,"A","D","A","N"
"P03",1.0830460192,"C","B","C","N"
"P03",1.13301250667,"F","E","E","N"
"P03",1.06624022075,"C","F","C","N"
"P03",0.883119104368,"E","C","C","N"
"P03",0.883077032503,"D","A","A","N"
"P03",1.08301269915,"F","C","F","N"
"P03",1.14965827926,"B","A","A","N"
"P03",1.13300572176,"C","D","D","N"
"P03",0.766354782295,"D","E","D","N"
"P03",1.09968797227,"A","B","B","N"
"P03",1.04962774415,"E","F","F","N"
"P03",0.949741298186,"B","F","F","N"
"P03",0.766493755686,"F","A","F","N"
"P03",0.966398357907,"D","C","C","N"
"P03",1.08304072902,"E","B","E","N"
"P03",1.23297621822,"B","C","C","N"
"P03",0.949744645529,"D","F","D","N"
"P03",0.716475271614,"F","D","D","N"
"P03",0.766461617582,"D","B","D","N"
"P03",1.0163817445,"A","C","A","N"
"P03",0.649800407516,"A","F","A","N"
"P03",1.1996155247,"F","B","B","N"
"P03",1.44956935662,"C","E","E","N"
"P03",1.06637246637,"B","E","E","N"
"P03",1.19964049594,"C","A","C","N"
"P03",1.28294624552,"B","D","B","N"
"P03",1.31631343223,"E","D","D","N"
"P03",1.51621152623,"E","A","A","N"
"P03",0.649846614687,"A","E","A","N"
"P04",0.999711111946,"D","A","A","N"
"P04",1.29962721483,"B","E","E","N"
"P04",0.949724564477,"E","F","E","N"
"P04",1.33292986369,"A","E","E","N"
"P04",0.783137320772,"D","C","C","N"
"P04",0.749803300727,"A","B","A","N"
"P04",1.28295832362,"D","F","F","N"
"P04",0.899718717904,"A","D","A","N"
"P04",0.966438748581,"C","E","C","N"
"P04",0.583184406133,"F","C","C","N"
"P04",0.616523187044,"C","A","A","N"
"P04",1.46622879828,"B","D","D","N"
"P04",1.53287665807,"F","D","F","N"
"P04",NA,"D","B",NA,"N"
"P04",0.866485548229,"C","D","C","N"
"P04",0.833121537432,"C","F","C","N"
"P04",0.866425317103,"C","B","C","N"
"P04",1.18300039549,"E","D","D","N"
"P04",0.749812542763,"F","A","A","N"
"P04",0.683144144781,"D","E","E","N"
"P04",0.649828554673,"E","A","A","N"
"P04",1.24962228254,"A","C","A","N"
"P04",0.866440330524,"E","C","C","N"
"P04",0.783124608085,"B","F","B","N"
"P04",1.09968434824,"E","B","E","N"
"P04",0.833137456109,"A","F","A","N"
"P04",0.633186610627,"B","C","C","N"
"P04",1.3162911918,"F","B","F","N"
"P04",0.633191133901,"B","A","A","N"
"P04",0.983063261178,"F","E","E","N"
"P04",1.14966689273,"F","B","F","N"
"P04",0.516570753603,"D","C","C","N"
"P04",0.53319978346,"E","A","A","N"
"P04",0.533213663055,"C","D","C","N"
"P04",0.466567824302,"E","C","C","N"
"P04",0.516520627664,"F","E","E","N"
"P04",0.716477665581,"F","C","C","N"
"P04",0.716445202667,"D","B","D","N"
"P04",0.649836888444,"B","C","C","N"
"P04",0.783177927986,"A","D","A","N"
"P04",0.99969807445,"D","F","D","N"
"P04",0.649839450831,"A","E","E","N"
"P04",0.616498200765,"A","B","A","N"
"P04",0.683172842309,"B","E","E","N"
"P04",0.566529752408,"D","E","E","N"
"P04",0.716439635792,"C","E","E","N"
"P04",0.883087850467,"E","F","E","N"
"P04",0.616507301449,"C","A","A","N"
"P04",0.499880894129,"C","B","C","N"
"P04",0.616492736145,"D","A","A","N"
"P04",0.583192881256,"B","D","B","N"
"P04",0.783119702859,"E","D","E","N"
"P04",0.533231019316,"B","A","A","N"
"P04",1.19965830332,"F","D","D","N"
"P04",0.599860425109,"C","F","C","N"
"P04",0.533216300629,"F","A","A","N"
"P04",0.549821324652,"E","B","E","N"
"P04",0.533197257163,"B","F","B","N"
"P04",0.683119555492,"A","F","A","N"
"P04",0.633172186675,"A","C","C","N"
"P04",0.599804651093,"F","C","C","N"
"P04",0.599827784754,"A","C","A","N"
"P04",0.649772909978,"B","C","C","N"
"P04",0.616525412591,"A","B","A","N"
"P04",0.749802094721,"F","E","E","N"
"P04",0.849824873497,"E","D","E","N"
"P04",0.566534155382,"B","A","A","N"
"P04",0.749813351779,"D","C","C","N"
"P04",0.58318857753,"A","E","A","N"
"P04",1.19965050488,"F","D","D","N"
"P04",0.733126159953,"A","F","A","N"
"P04",0.766469704739,"E","F","E","N"
"P04",0.583173867866,"B","E","E","N"
"P04",0.599829363689,"D","F","D","N"
"P04",0.849760362704,"A","D","A","N"
"P04",0.583176869347,"D","A","A","N"
"P04",1.26631601567,"E","C","E","N"
"P04",0.766473367869,"C","A","A","N"
"P04",0.666476543785,"B","F","B","N"
"P04",0.616527842648,"F","A","A","N"
"P04",0.866446174089,"E","B","E","N"
"P04",1.11631499312,"C","F","C","N"
"P04",0.766462480733,"D","B","B","N"
"P04",1.21636117022,"D","E","E","N"
"P04",0.616497027842,"C","B","C","N"
"P04",1.21631825024,"F","B","B","N"
"P04",0.749798759408,"E","A","A","N"
"P04",0.733085790333,"B","D","B","N"
"P04",0.683162893512,"C","E","E","N"
"P04",0.516522293817,"C","D","C","N"
"P04",1.43292839903,"F","B","F","N"
"P04",0.666515854768,"B","E","E","N"
"P04",0.566533006519,"A","F","A","N"
"P04",0.616529620078,"C","D","C","N"
"P04",0.666485833941,"B","A","A","N"
"P04",0.866461846152,"E","B","E","N"
"P04",1.13301136382,"F","D","D","N"
"P04",1.46623642228,"D","F","D","N"
"P04",0.599847540996,"F","C","C","N"
"P04",0.583172201713,"E","F","E","N"
"P04",0.599807381899,"F","A","A","N"
"P04",1.64950558567,"B","F","B","N"
"P04",0.633178156555,"A","C","C","N"
"P04",0.649846897392,"D","E","E","N"
"P04",0.566529036624,"C","B","C","N"
"P04",0.666446613184,"E","D","D","N"
"P04",0.666497316562,"E","A","A","N"
"P04",1.04968771062,"B","D","D","N"
"P04",0.583228318584,"D","C","C","N"
"P04",0.683154195833,"C","A","A","N"
"P04",0.699819405869,"C","F","C","N"
"P04",0.716469082187,"C","E","E","N"
"P04",0.549861931866,"A","D","A","N"
"P04",0.61655563492,"F","E","E","N"
"P04",0.73313696288,"D","A","A","N"
"P04",0.566559376246,"A","B","A","N"
"P04",0.616519872783,"E","C","C","N"
"P04",0.849760347667,"D","B","D","N"
"P04",0.649846831227,"A","E","E","N"
"P04",0.633170917512,"B","C","C","N"
"P04",0.799825417854,"E","C","C","N"
"P04",0.816452486823,"F","A","A","N"
"P04",0.749797369945,"E","F","E","N"
"P04",0.983060876234,"C","D","C","N"
"P04",0.83312687273,"B","F","F","N"
"P04",0.983065868678,"D","B","D","N"
