"Participant","pair","condition","ACC","RT","reward"
"P01",2,"N",1,0.833104420627,1
"P01",3,"N",1,0.699835042462,0
"P01",1,"N",1,1.03304120029,0
"P01",1,"N",1,1.04970307252,1
"P01",3,"N",1,0.966391849716,1
"P01",2,"N",1,0.749792491062,0
"P01",3,"N",1,0.766471905956,1
"P01",2,"N",-1,NA,0
"P01",3,"N",0,1.58284631076,1
"P01",3,"N",1,0.833084947162,1
"P01",3,"N",1,0.783124352733,0
"P01",2,"N",1,0.783123838453,0
"P01",2,"N",1,0.816422452378,1
"P01",2,"N",0,0.699831237994,0
"P01",3,"N",1,0.616506622858,0
"P01",1,"N",1,0.866449716733,1
"P01",1,"N",0,1.16633762176,0
"P01",1,"N",1,1.34959912783,1
"P01",1,"N",1,0.899819668199,1
"P01",3,"N",1,0.816439011591,1
"P01",1,"N",0,0.899745320165,0
"P01",3,"N",1,0.616509242377,1
"P01",3,"N",1,0.716489937332,1
"P01",3,"N",0,0.81640507513,1
"P01",1,"N",1,0.916269242076,1
"P01",1,"N",1,1.18298635429,1
"P01",2,"N",0,1.0497139536,1
"P01",1,"N",1,1.06634379312,0
"P01",2,"N",1,1.16622340349,1
"P01",3,"N",1,0.933067867655,1
"P01",3,"N",1,0.933075831475,0
"P01",3,"N",1,0.766445819032,1
"P01",2,"N",1,1.43290035977,1
"P01",1,"N",1,1.14957941377,1
"P01",2,"N",1,0.899708785239,1
"P01",1,"N",0,1.2996624429,0
"P01",2,"N",1,0.949745646478,1
"P01",2,"N",1,0.583201413519,1
"P01",1,"N",0,0.899758760615,1
"P01",1,"N",1,0.666509682973,1
"P01",1,"N",1,1.04967677808,1
"P01",1,"N",1,0.949697292136,1
"P01",3,"N",1,1.33294176682,0
"P01",3,"N",1,1.16632284298,1
"P01",2,"N",1,1.44957921527,0
"P01",3,"N",1,0.783116626504,1
"P01",1,"N",1,1.11636152976,1
"P01",3,"N",1,0.933071657087,0
"P01",3,"N",1,0.649836466506,1
"P01",3,"N",1,1.08301771333,1
"P01",1,"N",-1,NA,1
"P01",3,"N",1,0.883083619357,1
"P01",1,"N",1,0.799792405349,0
"P01",2,"N",1,0.783082022383,1
"P01",1,"N",1,0.583185702417,1
"P01",1,"N",1,0.633167246986,1
"P01",1,"N",1,0.449912158886,1
"P01",2,"N",0,0.466514428785,0
"P01",1,"N",1,1.11631138897,0
"P01",2,"N",1,0.683159359857,1
"P01",2,"N",1,0.649847395706,1
"P01",3,"N",1,0.816423748604,0
"P01",1,"N",1,0.733147824649,1
"P01",2,"N",1,0.683143519434,0
"P01",3,"N",1,0.533157776415,0
"P01",1,"N",1,0.699807584125,1
"P01",2,"N",1,0.616553732101,1
"P01",2,"N",1,0.633170074022,0
"P01",1,"N",1,0.866403693191,1
"P01",3,"N",1,1.16631442803,0
"P01",1,"N",1,0.516528718848,1
"P01",2,"N",1,0.666340526986,1
"P01",3,"N",0,1.03307740138,1
"P01",1,"N",0,0.849795275993,0
"P01",2,"N",1,0.833114489687,0
"P01",2,"N",1,0.999686623083,1
"P01",3,"N",1,1.13300006992,1
"P01",1,"N",1,0.766448760352,1
"P01",1,"N",1,0.533203514246,0
"P01",2,"N",1,0.633161364346,0
"P01",3,"N",0,1.63284479649,0
"P01",2,"N",1,0.96638798209,0
"P01",2,"N",1,0.549840358191,1
"P01",2,"N",1,0.733146284816,1
"P01",3,"N",1,0.999711681447,1
"P01",3,"N",1,1.19968351936,1
"P01",1,"N",1,0.999741455547,1
"P01",2,"N",1,0.833099133469,1
"P01",1,"N",0,0.94973626914,0
